,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
30,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102,7,4
31,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5,7.75
32,Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5,6.75
33,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696,184,7,12.5
34,Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5,11.5
35,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5,6.98
36,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,14,1061,64,5,1.85
37,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5,8.63
38,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,18.15,1198,82,5,4.85
39,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5,28
40,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5,5
41,Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5,1.25
42,Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.4,624,37.5,4,1.53
43,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198,77,6,5.58
44,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5,4.74
45,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5,8.85
46,Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5,10.11
47,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5,4.25
48,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7,10.95
49,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120,71,5,3.85
50,Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498,105,6,5.5
51,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5,21.43
52,Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1248,74,5,4.25
53,Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248,75,5,3.3
54,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248,74,5,3.85
55,Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197,82,5,3.6
56,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5,3.99
57,Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17,799,53.3,5,3.3
58,Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5,2.07
59,Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5,7.75
60,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998,67.1,5,2.25
61,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8,16.5
62,Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20,1399,68,5,2.75
63,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796,186,5,26.7
64,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,15.8,2148,170,5,10
65,Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25,1396,69,5,2.5
66,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968,140,5,13.5
67,Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497,78,5,1.85
68,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0,1950,194,5,35.67
69,Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7,8.15
70,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5,10.5
71,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806,500,5,14.5
72,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179,140,7,9.65
73,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5,3.48
74,Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5,6.92
75,Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5,6.46
76,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5,29.5
77,Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,Diesel,Manual,First,17.8,1399,null  ,5,2
78,Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998,132,8,4.5
79,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494,102,7,11.75
80,Hyundai Santro Xing XL,Hyderabad,2005,87591,Petrol,Manual,First,0,1086,null  ,5,1.3
81,Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248,74,5,3.75
82,Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5,4.5
83,Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18,1198,86.7,5,4.82
84,Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20,1399,68,5,2.8
85,Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5,3.11
86,Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5,3.25
87,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995,218,5,13.9
88,Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5,2.25
89,Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197,82,5,5.75
90,Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,Manual,First,17,1086,null  ,5,2.1
91,Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5,5
92,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,13,2982,168.5,7,16.5
93,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5,39.58
94,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5,5.5
95,Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,15.1,2179,140,7,8.1
96,Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5,3.5
97,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5,2.79
98,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493,110,5,3.45
99,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,18.9,998,67.1,5,4.45
100,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5,2.65
101,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,23,1396,90,5,3.8
102,Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5,4.65
103,Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.83,1198,67,7,3.95
104,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5,9.8
105,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,17,1197,80,5,2.7
106,Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,14,796,35,5,2.41
107,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5,3.9
108,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5,24
109,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,16,2179,140,7,5.75
110,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5,5.25
111,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,19.25
112,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73,5,3.91
113,Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,25.4,624,37.5,4,2.15
114,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190,5,20.75
115,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,First,13.5,1799,130,5,3.35
116,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7,11.11
117,Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984,150,5,20
118,Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5,6.55
119,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497,215,5,7
120,Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5,7.5
121,Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,Petrol,Manual,Second,17,1086,null  ,5,0.85
122,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,15,2143,107.3,5,16.75
123,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22,1582,126.2,5,10.95
124,Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,18.9,998,67.1,5,2.45
125,Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4,3.23
126,Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179,120,8,7.75
127,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796,178,5,9.35
128,Maruti Wagon R LXI CNG,Pune,2013,89900,CNG,Manual,First,26.6,998,58.16,5,3.25
129,Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354,152,5,5.25
130,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5,7.25
131,Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5,7.47
132,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,16,2179,140,7,13.25
133,Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197,85.8,5,5.81
134,Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,67.1,5,2.6
135,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,19,2996,362.07,2,54
136,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,17,1591,121.3,5,11.5
137,Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5,1.6
138,BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995,143,5,17.22
139,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,19,1199,88.7,5,6
140,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,First,13.5,1799,130,5,3.95
141,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143,170,5,17.95
142,Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5,3.7
143,Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22,1197,81.8,5,5.43
144,Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759,Petrol,Manual,Third,17,1086,null  ,5,1.67
145,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982,171,7,13.49
146,Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5,2.85
147,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5,4.75
148,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5,9.9
149,Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,444,4,37
150,BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190,5,26.5
151,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5,23.32
152,Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9,1248,74,5,6.25
153,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5,30
154,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5,9.86
155,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5,8.5
156,Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,21.1,814,55.2,5,4.23
157,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5,3.5
158,Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5,2.5
159,Honda Brio S MT,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5,2.39
160,Mercedes-Benz B Class B180,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5,11.25
161,Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,First,26,1498,98.6,5,7.11
162,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7,10.9
163,Maruti Swift VXI Optional,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197,81.8,5,6.2
164,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179,140,7,7.9
165,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5,4.42
166,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,Diesel,Manual,First,13,2982,168.5,7,13.5
167,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5,6.25
168,Ford Figo Diesel Titanium,Jaipur,2010,66123,Diesel,Manual,Second,20,1399,68,5,2.1
169,BMW X5 xDrive 30d,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993,258,5,45
170,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5,33.66
171,Honda Brio V MT,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5,3.65
172,Hyundai i10 Magna 1.2,Delhi,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5,2.75
173,Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143,170,5,42.5
174,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5,6.5
175,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5,19
176,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5,4.45
177,Mini Countryman Cooper D,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998,112,5,23
178,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5,8.35
179,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5,22.95
180,Chevrolet Beat Diesel LT,Jaipur,2012,88000,Diesel,Manual,First,25.44,936,57.6,5,1.5
181,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5,6.89
182,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399,68,5,1.45
183,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,190,5,33.5
184,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598,102.5,5,1.25
185,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5,4.2
186,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461,108.5,8,6.75
187,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,Diesel,Automatic,First,13,2143,201.1,5,32
188,Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5,7.5
189,Hyundai Verna 1.6 SX,Delhi,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5,4.6
190,Hyundai i10 Magna 1.1,Kochi,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5,4.04
191,Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,Diesel,Manual,First,15.4,1997,120,7,10.31
192,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5,55.76
193,Ford Figo Diesel ZXI,Chennai,2010,120000,Diesel,Manual,First,20,1399,68,5,2.6
194,Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248,88.5,7,8.5
195,Honda City 1.5 GXI,Ahmedabad,2007,60006,Petrol,Manual,First,0,NA,,NA,2.95
196,Honda Amaze S i-Dtech,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498,98.6,5,3.5
197,Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197,78.9,5,3.55
198,Honda Amaze S i-Dtech,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5,3.25
199,Skoda Laura Ambiente,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896,106,5,4.5
200,Renault Duster 85PS Diesel RxL,Delhi,2014,90000,Diesel,Manual,First,19.87,1461,83.8,5,5.35
201,Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493,100,7,6.5
202,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5,9
203,Hyundai i20 Asta Option 1.2,Kochi,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5,6
204,Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,Petrol,Manual,First,14.7,1390,85,5,2.75
205,Tata Indigo eCS GLX,Pune,2010,70500,Petrol,Manual,First,15.64,1193,64.1,5,1.5
206,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5,19.9
207,Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5,10
208,Toyota Etios Liva GD SP,Delhi,2014,104000,Diesel,Manual,First,23.59,1364,67.06,5,3
209,Maruti Swift 1.3 VXi,Kolkata,2010,42001,Petrol,Manual,First,16.1,NA,,NA,2.11
210,Mercedes-Benz B Class B180,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5,11.96
211,Honda Amaze S Diesel,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5,3.25
212,Hyundai Verna 1.6 SX,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5,4.75
213,Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461,83.8,5,5.95
214,Hyundai Creta 1.6 VTVT S,Delhi,2015,27057,Petrol,Manual,Second,15.29,1591,121.3,5,8.15
215,Maruti Wagon R AMT VXI,Mumbai,2016,8500,Petrol,Automatic,First,20.51,998,67,5,4.22
216,Mercedes-Benz New C-Class C250 Avantgarde,Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796,186,5,10.5
217,Audi A8 L 3.0 TDI quattro,Delhi,2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5,45
218,Hyundai i10 Magna 1.1,Pune,2012,44000,Petrol,Manual,Second,19.81,1086,68.05,5,2.9
219,Skoda Rapid 1.6 MPI AT Style Black Package,Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598,103.52,5,8.9
220,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5,26
221,Hyundai i20 Active 1.2 SX,Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197,81.86,5,8.22
222,Honda Amaze VX i-DTEC,Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498,98.6,5,3.5
223,Maruti Wagon R LXI,Chennai,2004,61000,Petrol,Manual,Second,18.9,998,67.1,5,1.25
224,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461,65,5,3.7
225,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143,167.62,5,39.41
226,Maruti Wagon R VXI,Kolkata,2013,32000,Petrol,Manual,First,22.5,998,67.04,5,2.65
227,Nissan Terrano XV Premium 110 PS Anniversary Edition,Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461,108.5,5,8.92
228,Maruti Swift VDI BSIV,Delhi,2013,47000,Diesel,Manual,First,17.8,1248,null  ,5,4.1
229,Mini Cooper Convertible S,Kochi,2017,26327,Petrol,Automatic,First,16.82,1998,189.08,4,35.67
230,Ford Figo Diesel,Bangalore,2015,70436,Diesel,Manual,First,0,1498,99,NA,3.6
231,Tata Indica V2 DLS BSII,Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396,53.5,5,0.85
232,Chevrolet Beat LT,Kochi,2016,60813,Petrol,Manual,Second,18.6,1199,76.8,5,3.32
233,Volkswagen Polo Diesel Comfortline 1.2L,Mumbai,2012,45000,Diesel,Manual,First,22.07,1199,73.9,5,3.6
234,Maruti Swift ZDi,Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248,74,5,6.8
